transaction_id,customer_id,country,amount,payment_method,device,hour,fraud
1,C202,UK,2970.07,UPI,Mobile,12,0
2,C535,UAE,1340.39,Debit Card,Laptop,12,0
3,C960,UK,3231.35,Debit Card,Mobile,10,0
4,C370,Singapore,4929.93,Debit Card,Mobile,15,0
5,C206,Germany,250.02,Credit Card,Mobile,21,0
6,C171,Singapore,4433.22,NetBanking,Laptop,13,0
7,C800,Singapore,2813.6,Credit Card,Mobile,10,0
8,C120,Germany,1264.23,Credit Card,Laptop,4,0
9,C714,Germany,4774.67,Debit Card,Mobile,9,0
10,C221,Germany,2419.35,NetBanking,Mobile,20,1
11,C566,Germany,1661.79,Credit Card,Tablet,14,0
12,C314,Germany,911.58,NetBanking,Laptop,6,0
13,C430,Singapore,1226.04,Debit Card,Tablet,2,0
14,C558,USA,4165.08,Credit Card,Mobile,10,0
15,C187,USA,3073.98,NetBanking,Tablet,8,0
16,C472,India,4566.66,Wallet,Mobile,9,0
17,C199,USA,1163.68,Credit Card,Tablet,22,0
18,C971,UAE,610.09,Credit Card,Tablet,3,0
19,C763,USA,35.41,Credit Card,Laptop,21,0
20,C230,Singapore,2541.77,NetBanking,Laptop,19,0
21,C761,Germany,4991.54,UPI,Tablet,17,0
22,C408,Germany,3476.35,Credit Card,Tablet,13,0
23,C869,Singapore,1545.43,Wallet,Laptop,8,0
24,C443,UAE,4384.91,Wallet,Mobile,19,0
25,C591,USA,3909.7,Debit Card,Mobile,15,0
26,C513,Singapore,82,UPI,Mobile,1,0
27,C905,India,4085.22,UPI,Mobile,22,0
28,C485,Germany,1506.13,NetBanking,Tablet,6,0
29,C291,UK,752.62,Debit Card,Mobile,4,0
30,C376,India,1135.52,NetBanking,Tablet,20,0
31,C260,UAE,2345.56,Debit Card,Tablet,23,0
32,C559,India,2127.22,UPI,Mobile,21,0
33,C413,Singapore,1447.99,NetBanking,Mobile,16,0
34,C121,USA,865.23,Debit Card,Mobile,10,0
35,C352,Germany,3812.34,UPI,Laptop,3,0
36,C847,UAE,4950.6,UPI,Tablet,16,0
37,C956,UAE,3890.07,Credit Card,Mobile,20,0
38,C660,UK,1483.21,NetBanking,Laptop,4,0
39,C574,India,1227.82,Credit Card,Tablet,3,0
40,C158,UK,1092.24,UPI,Tablet,23,0
41,C610,USA,687.79,NetBanking,Tablet,9,0
42,C781,USA,2758.9,NetBanking,Mobile,2,0
43,C575,UK,3028.97,Wallet,Mobile,20,0
44,C799,Germany,3528.99,Debit Card,Tablet,5,1
45,C882,USA,3402.67,Wallet,Tablet,20,0
46,C289,UK,1465.2,Wallet,Laptop,7,1
47,C786,India,1654.9,UPI,Laptop,4,0
48,C662,UK,3409.17,Debit Card,Tablet,7,0
49,C975,UK,1750.49,Wallet,Laptop,9,0
50,C666,Singapore,1067.05,Wallet,Tablet,18,1
51,C343,USA,1874.81,NetBanking,Laptop,20,0
52,C931,Germany,1364.06,UPI,Tablet,3,0
53,C604,Germany,446.12,Wallet,Mobile,5,1
54,C230,Singapore,4151.54,Debit Card,Tablet,2,0
55,C584,UAE,4266.29,Credit Card,Mobile,3,1
56,C918,Germany,1102.65,Credit Card,Tablet,3,0
57,C746,UK,328.54,UPI,Mobile,4,0
58,C120,Singapore,3695.44,Credit Card,Laptop,14,0
59,C940,India,1061.59,NetBanking,Mobile,15,1
60,C266,USA,1970.21,NetBanking,Laptop,5,0
61,C373,USA,325.36,Debit Card,Tablet,17,0
62,C487,USA,1135.22,UPI,Laptop,11,0
63,C700,UK,3965.55,UPI,Laptop,23,0
64,C415,India,4022.96,Credit Card,Laptop,19,0
65,C113,Singapore,1039.39,Wallet,Tablet,6,0
66,C341,Singapore,1682.89,Wallet,Mobile,22,1
67,C876,USA,675.52,Wallet,Laptop,11,0
68,C445,India,375.49,Debit Card,Tablet,13,0
69,C664,India,4960.9,UPI,Laptop,12,0
70,C997,India,3279.69,Credit Card,Mobile,10,0
71,C439,Germany,2712.77,Debit Card,Laptop,10,0
72,C191,Germany,3828.67,NetBanking,Laptop,1,0
73,C466,USA,4201.19,NetBanking,Laptop,13,0
74,C554,India,4034.54,NetBanking,Mobile,14,0
75,C527,UAE,87.61,UPI,Mobile,22,0
76,C608,India,938.11,NetBanking,Tablet,0,0
77,C875,Singapore,3276.25,Wallet,Laptop,11,0
78,C134,Singapore,1881.92,NetBanking,Laptop,13,0
79,C305,USA,4912.5,Debit Card,Laptop,17,0
80,C180,UAE,3328.7,NetBanking,Laptop,20,0
81,C661,India,4782.96,Wallet,Mobile,23,0
82,C971,UAE,1011.23,NetBanking,Mobile,22,0
83,C487,USA,4320.47,Credit Card,Laptop,2,0
84,C101,Singapore,1610.15,Wallet,Laptop,11,0
85,C489,Singapore,4947.88,UPI,Laptop,4,0
86,C665,Germany,792.65,NetBanking,Laptop,2,0
87,C205,USA,2584.12,Debit Card,Tablet,6,0
88,C871,USA,3965.26,NetBanking,Tablet,15,0
89,C921,India,2166.05,Debit Card,Laptop,19,0
90,C576,India,2343.08,Credit Card,Laptop,16,0
91,C802,Germany,4931.85,UPI,Laptop,20,0
92,C501,UK,2129.41,Wallet,Tablet,7,0
93,C829,UAE,3022.34,Wallet,Mobile,14,0
94,C655,UK,277.43,UPI,Tablet,19,0
95,C261,UK,4211.84,Credit Card,Tablet,14,0
96,C301,USA,3242.6,Credit Card,Laptop,22,0
97,C369,UAE,2023.08,NetBanking,Laptop,7,0
98,C962,USA,85.77,Credit Card,Mobile,10,0
99,C915,UAE,2960.39,NetBanking,Laptop,20,0
100,C370,Singapore,68.23,Debit Card,Laptop,21,0
101,C555,USA,11.01,UPI,Mobile,22,0
102,C561,USA,3082.41,Debit Card,Laptop,9,0
103,C826,USA,949.14,Debit Card,Laptop,17,0
104,C351,Germany,963.48,Debit Card,Laptop,8,0
105,C801,USA,3268.09,Debit Card,Tablet,15,0
106,C395,India,273.22,Wallet,Laptop,0,0
107,C824,India,1570.46,Credit Card,Tablet,21,0
108,C819,UAE,751.41,UPI,Laptop,5,0
109,C848,Singapore,2902.98,UPI,Laptop,22,0
110,C437,Germany,3310.52,Debit Card,Tablet,1,0
111,C978,UAE,3607.07,UPI,Tablet,12,0
112,C152,India,1279.88,NetBanking,Laptop,21,0
113,C891,Germany,450.8,UPI,Mobile,5,0
114,C316,Germany,398.02,Debit Card,Laptop,8,0
115,C863,Singapore,2133.63,UPI,Tablet,13,0
116,C287,Germany,4729.49,Credit Card,Laptop,23,0
117,C479,USA,1092.56,Debit Card,Laptop,20,0
118,C592,Germany,1287.42,Wallet,Tablet,6,0
119,C140,Singapore,508.94,Credit Card,Mobile,22,0
120,C256,UAE,3029.82,UPI,Mobile,4,1
121,C114,Singapore,3400.97,Wallet,Tablet,6,0
122,C912,Singapore,3216.44,Credit Card,Tablet,2,0
123,C164,India,4306.35,NetBanking,Laptop,22,0
124,C956,USA,2434.7,Credit Card,Tablet,12,0
125,C938,India,676.61,Wallet,Tablet,21,0
126,C620,UAE,1450.58,NetBanking,Laptop,11,0
127,C443,UK,3313.84,UPI,Laptop,5,0
128,C228,UAE,3067.54,Debit Card,Laptop,1,0
129,C747,USA,2657.36,UPI,Mobile,14,0
130,C571,Germany,3416.41,Debit Card,Mobile,14,0
131,C162,Singapore,3188.77,Debit Card,Tablet,17,0
132,C238,UK,4407.22,Wallet,Laptop,22,0
133,C598,USA,2932.15,NetBanking,Tablet,16,0
134,C692,India,3894.11,NetBanking,Tablet,2,0
135,C491,Singapore,1247.29,Credit Card,Mobile,21,0
136,C774,UAE,3392.52,UPI,Mobile,2,1
137,C518,India,4511.46,Wallet,Tablet,8,1
138,C388,USA,1931.73,UPI,Laptop,9,0
139,C478,USA,3896.63,Credit Card,Mobile,11,0
140,C872,UAE,3625.32,Credit Card,Mobile,22,0
141,C589,UK,302.33,Wallet,Mobile,0,0
142,C330,UAE,2909.63,Credit Card,Tablet,3,0
143,C140,Germany,655.3,Wallet,Mobile,20,0
144,C127,India,4836.76,Credit Card,Laptop,22,0
145,C234,UK,4057.98,NetBanking,Mobile,22,0
146,C300,Singapore,553.07,Wallet,Tablet,4,0
147,C939,Germany,613.15,NetBanking,Tablet,16,0
